Sully Prudhomme; Les Vaines Tendresses ;Sully Prudhomme ;Trieste Publishing ;2017-09 ;0649030508;
Sully Prudhomme ;Sully Prudhomme ; ;1930 ; ;
An Introduction to Metaphysics ;Henri Bergson ;Littlefield Adams ;1965 ; ;
The Meaning of the War ;Henri Bergson ;The Floating Press ;2014-07-01 ;9781776583775;
The Henri Bergson "Mind" Reader ;Henri Bergson, F. L. Pogson ;Createspace Independent Publishing Platform ;2011-03-06 ;1460942612;
Mind-energy ;Henri Bergson ; ;1920 ; ;
Time and Free Will ;Henri Bergson ;Good Press ;2019-11-19 ; ;
Comedy ;Henri Bergson ;Doubleday ;2013-05-22 ;9780307830777;
Time and Free Will ;Henri Bergson, Frank Lubecki Pogson ; ;1910 ; ;
Creative Evolution, By Henri Bergson ... Authorized Translation by Arthur Mitchell, Ph. D. ;Henri Bergson ; ;1911 ; ;
Creative Evolution ;Henri Bergson ;Createspace Independent Publishing Platform ;2015-12-28 ;1522954589;
The Two Sources of Morality and Religion ;Henri Bergson ; ;1963 ; ;
Laughter ;Henri Bergson ;CreateSpace ;2015-04-11 ;1511684291;
Introduction to Metaphysics ;Henri Bergson ; ;1961 ; ;
The Introduction to a New Philosophy ;Henri Bergson ; ;1912 ; ;
Henri Bergson Megapack, The: 5 Classic Non-Fiction Works in English Translation ;Henri Bergson ; ;2014-01-01 ;1306865611;
The Creative Mind ;Henri Bergson ; ;1946 ;0802201067;
The Meaning of the War ;Henri Bergson ;Lindhardt og Ringhof ;2022-07-14 ;9788728337479;
The Meaning of the War - Life and Matter in Conflict ;Henri Bergson, J. Alexander Gunn ;Read Books Ltd ;2020-05-26 ;9781528789912;
Dreams ;Henri Bergson ; ;2012 ;1620112094;
Creative Evolution ;Henri Bergson, Arthur Mitchell ;CreateSpace ;2014-04 ;1497529794;
Matter and Memory ;Henri Bergson, Nancy M. Paul, W. Scott Palmer ; ;2018-07-11 ;1387939734;
Henri Bergson ;Henri Bergson ; ;1943 ; ;
Henri Bergson ;Henri Bergson ; ;1966 ; ;
Laughter ;Henri Bergson ; ;2019-11-10 ;1706990537;
The Meaning of the War ;Henri Bergson, H. Wildon Carr ;CreateSpace ;2015-01-23 ;1507690622;
Mind Energy ;Henri Bergson ;Literary Licensing, LLC ;2014-08-07 ;1498153429;
Creative Evolution by Henri Bergson Member of the Institute Professor at the College de France Authorized Translation by Arthur Mitchell, Ph.D. ;Henri Bergson ; ;1914 ; ;
An Introduction to Metaphysics [by] Henri Bergson ;Henri Bergson ; ;1955 ; ;
The Creative Mind, By Henri Bergson. Translated by Mabelle L. Andison ;Henri Bergson ; ;1946 ; ;
Mind-Energy ;Henri Bergson ;Henri Bergson Centennial Series ;2007-07-12 ; ;
Creative Evolution ;Henri Bergson, Arther Mitchell ;Indoeuropeanpublishing.com ;2010-10 ;1604443324;
Study in Metaphysics ;Henri Bergson ; ;1961 ;0802201075;
Dreams, by Henri Bergson. Translated, with an Introd., by Edwin E. Slosson ;Henri Bergson ; ; ; ;
Laughter ;Henri Henri Bergson ;Createspace Independent Publishing Platform ;2018-01-17 ;1983532967;
Laughter ;Fred Rothwell, Cloudesley Brereton, Henri Bergson ;CreateSpace ;2014-06-04 ;1499782314;
An Introduction to Metaphysics and Other Writings (Graphyco Annotated Edition) ;Henri Bergson ; ;2020-08-31 ;9798681359432;
Creative Evolution ;Henri Bergson ; ;2001-04 ;0742662276;
Creative Evolution (Illustrated) ;Henri Bergson ; ;2020-02 ;9798607541323;
Creative Evolution, By Henri Bergson ... Authorized Translation by Arthur Mitchell, Ph.D. ;Henri Bergson ; ;1911 ; ;
Selections from Bergson ;Henri Bergson ; ;1949 ; ;
Muqaddama-ĕ mā-baʻda-ʹt̤-t̤abīʻīyāt; yaʻne, Henri Bergson-kī "Introduction to metaphysics" - ;Henri Bergson ; ;1931 ; ;
Matter and Memory - Scholar's Choice Edition ;Henri Bergson ; ;2015-02-15 ;1296029581;
Laughter: Large Print ;Henri Bergson ;Createspace Independent Publishing Platform ;2018-10-10 ;172781567X;
Creative Evolution ;Henri Bergson ;CreateSpace ;2015-04-04 ;1511591277;
The Dictionary of Dreams ;Gustavus Hindman Miller, Sigmund Freud, Henri Bergson ;Wellfleet Press ;2017-11-07 ;9781577151562;
Comedy ;George Meredith, Henri Bergson ;Peter Smith Pub Incorporated ;1996-01-01 ;0844616664;
L'Évolution Créatrice... - Primary Source Edition ;Henri Bergson ;Nabu Press ;2014-01 ;1295478382;
Laughter ;Henri Bergson ; ;2020-01-18 ;1671176820;
Michell, Arthur Studies in Bergson's Philosophy ;Henri Bergson ; ;1914 ; ;
Congès Bergson ;Henri Bergson ; ; ; ;
An Introduction to Metaphysics ... Authorised Translation [of Bergson's Article Entitled "Introduction À la Metaphysique," in the "Revue de Métaphysique Et de Morale," 1903,] by T.E. Hulme ;Henri Bergson, Thomas Ernest Hulme ; ;1913 ; ;
Dreams ;Henri Bergson ; ;2019-10-07 ;1698059272;
The Two Sources of Morality and Religion ;Henri Bergson ; ;1954 ; ;
Les études bergsoniennes ;Henri Bergson, Émile Bréhier, Jeanne Delhomme, Raymond Polin ; ;1949 ; ;
Laughter; An Essay on the Meaning of the Comic. Authorized Translation by Cloudesley Brereton and Fred Rothwell ;Henri Bergson ;Franklin Classics Trade Press ;2018-11-10 ;0353263915;
Dreams ;Henri Bergson ; ;2018-05-22 ;1719478260;
Comedy ;Laughter ;George Meredith, Henri Bergson ; ;1956 ; ;
Hsin li ;Henri Bergson ; ;1929 ; ;
An introduction to metaphysics, authorized to by T.E.Hulme ;Henri Bergson ; ;1955 ; ;
Comedy ;George Meredith, Wylie Sypher, Henri Bergson ; ;1991 ; ;
Victor Egger e Henri Bergson ;Victor Egger, Riccardo Roni, Henri Bergson ; ;2016 ;8846745531;
Essay on the Meaning of the Comic ;Henri Bergson ; ;1911 ; ;
Creative Evolution ;Henri Bergson ; ;1928 ; ;
Henri Bergson (étude et analyse complète de sa pensée) ;Henri Bergson ;Comprendre La Philosophie ;2022-05-10 ;2759314952;
The two sources of morality and religion, tr ;Henri Bergson ; ; ; ;
Le Rire (French Edition) ;Henri Bergson ;Createspace Independent Publishing Platform ;2016-11-01 ;1539857093;
The Two Sources of Morality and Religion ... Translated by R. Ashley Audra and Cloudesley Brereton, with the Assistance of W. Horsfall Carter ;Henri Bergson, R. Ashley AUDRA, Cloudesley Shovell Henry BRERETON, William Horsfall Carter ; ;1935 ; ;
Henri Bergson: Key Writings ;Henri Bergson ;A&C Black ;2002-04-22 ;9780826457288;
HENRY BERGSON Premium Collection ;Henri Bergson ;e-artnow ;2018-11-01 ;9788026896791;
The Collected Works of Henri Bergson ;Henri Bergson ;DigiCat ;2022-11-13 ; ;
The Greatest Works of Henri Bergson: Time and Free Will, Creative Evolution, Meaning of the War, Matter and Memory, Laughter & Dreams ;Henri Bergson ;e-artnow ;2018-12-21 ;9788027246816;
Entretiens Avec Bergson ;Jacques Chevalier, Henri Bergson ; ;1959 ; ;
Selections from Bergson ;Henri Bergson ; ;1949 ; ;
An Introduction to Metaphysics ;Henri Bergson ;Hackett Publishing Company Incorporated ;1999 ;0872204758;
Time and Free Will ;Henri Bergson, Frank Lubecki Pogson ;Courier Corporation ;2001-01-01 ;0486417670;
Key Writings ;Henri Bergson ;Bloomsbury Publishing ;2014-04-24 ;9781472531148;
Creative Evolution ;Henri Bergson ;Taylor & Francis ;2022-10-31 ;9781134975686;
Dreams ;Henri Bergson, J. Alexander Gunn ;Read Books Ltd ;2020-05-26 ;9781528789905;
The Meaning of the War - Life and Matter in Conflict ;Henri Bergson, J. Alexander Gunn ;Read Books Ltd ;2020-05-26 ;9781528789912;
Time and Free Will (Annotated Edition) ;Henri Bergson ;e-artnow ;2018-11-01 ;9788026896814;
Duration and Simultaneity ;Henri Bergson ; ;1999 ; ;
Matter and Memory. Authorised Translation by Nancy Margaret Paul and W. Scott Palmer [pseud.] ;Henri Bergson ; ;1959 ; ;
Matter and Memory ;Henri Bergson ; ;1919 ; ;
Mind-Energy ;Henri Bergson ;Henri Bergson Centennial Series ;2007-07-12 ; ;
Laughter ;Henri Bergson, Fred Rothwell ; ;1921 ; ;
The Philosophy of Poetry ;Henri Bergson ; ;1959 ; ;
The Introduction to a New Philosophy ;Henri Bergson ; ;1912 ; ;
The Meaning of the War ;Henri Bergson ;Рипол Классик ;1915 ; ;
Jenny ;Sigrid Undset ;Read Books Ltd ;2020-05-26 ;9781528790390;
Happy Times in Norway ;Sigrid Undset ;U of Minnesota Press ;2013-05-01 ;9780816684694;
Stages on the Road ;Sigrid Undset ;Ave Maria Press ;2012-06-18 ;9780870612701;
Saga of Saints ;Sigrid Undset ;Freeport, N.Y. : Books for Libraries Press ;1968 ; ;
The Unknown Sigrid Undset ;Sigrid Undset ; ;2001 ; ;
The Son Avenger ;Sigrid Undset ;Vintage ;1995-06-24 ; ;
Kristin Lavransdatter, I: The Wreath ;Sigrid Undset ;Penguin ;1997-12-01 ;9781101127766;
True and Untrue and Other Norse Tales - Illustrated by Frederick T. Chapman ;Sigrid Undset ;Read Books Ltd ;2013-04-16 ;9781473389243;
The Cross ;Sigrid Undset ;Read Books Ltd ;2013-01-31 ;9781447482208;
Jenny ;Sigrid Undset ;Echo Library ;2020-04 ;1406899984;
The Bridal Wreath ;Sigrid Undset ;Vintage ;2011-03-23 ;9780307789716;
Sigrid Undset. Dutch ;Piet SCHEPENS, Sigrid UNDSET ; ;1959 ; ;
The Mistress of Husaby ;Sigrid Undset ;Vintage ;2011-10-12 ;9780307807663;
In the Wilderness ;Sigrid Undset ;Vintage ;1995-06-24 ; ;
Sigurd and His Brave Companions ;Sigrid Undset ;U of Minnesota Press ;2013-05-01 ;9780816684786;
Catherine of Siena ;Sigrid Undset ;Ignatius Press ;2009-11-24 ;9781681490694;
Jenny ;Sigrid Undset ; ;2008-10 ;1409923819;
Marta Oulie ;Sigrid Undset ;U of Minnesota Press ;2014-03-15 ;9781452942414;
The Axe ;Sigrid Undset ;Vintage ;1994-11-29 ; ;
Sigrid Undset on Saints and Sinners ;Sigrid Undset ; ;1993 ; ;
Men, Women, and Places ;Sigrid Undset ;Ayer Company Pub ;1969 ; ;
The Snake Pit ;Sigrid Undset ;Vintage ;1994-11-29 ; ;
The Longest Years ;Sigrid Undset ; ;1971 ; ;
Olav Audunssøn ;Sigrid Undset ;U of Minnesota Press ;2022-10-25 ;9781452967974;
Olav Audunssøn ;Sigrid Undset ; ;2023-10-24 ;1517915414;
The Wreath ;Sigrid Undset ;Digireads.com ;2019-08-27 ;1420963767;
The Wild Orchid ;Sigrid Undset ; ; ;1949899926;
The Axe ;Sigrid Undset ; ;1928 ; ;
Olav Audunssøn ;Sigrid Undset ;U of Minnesota Press ;2021-10-05 ;9781452965772;
Olav Audunssøn ;Sigrid Undset ;U of Minnesota Press ;2020-11-10 ;9781452964980;
Images in a Mirror ;Sigrid Undset ; ;1938 ; ;
Kristin Lavransdatter, III: The Cross ;Sigrid Undset ;Penguin ;2000-04-01 ;9781101177280;
Kristin Lavransdatter, II: The Wife ;Sigrid Undset ;Penguin ;1999-11-01 ;9781101177273;
The Burning Bush ;Sigrid Undset ; ;2019-04-25 ;1949899950;
Sigrid Undset. A Study in Christian Realism. Translated by P.G. Foote. [With Plates, Including Portraits.]. ;Andreas Hofgaard WINSNES, Peter Foote, Sigrid Undset ; ;1953 ; ;
Kristin Lavransdatter ;Sigrid Undset ; ;1978 ; ;
Sigrid Undset. En Studie i Kristen Realisme. Sigrid Undset. Przełożył Andrzej Kołaczkowski. With Portraits. ;Andreas Hofgaard WINSNES, Andrzej KOŁACZKOWSKI, Sigrid Undset ; ;1959 ; ;
Kristin Lavransdatter ;Sigrid Undset ; ;1966 ; ;
Essays ;Sigrid Undset ; ;1996 ; ;
Kormaks saga. [Translated into Norwegian by Sigrid Undset.]. ;Sigrid Undset ; ;1951 ; ;
Six Scandinavian Novelists. Lie, Jacobsen, Heidenstam, Selma Lagerlöf, Hamsun, Sigrid Undset. By Alrik Gustafson ;American Scandinavian Society (NEW YORK). American-Scandinavian Foundation, Alrik GUSTAFSON, Carl Gustaf Verner von HEIDENSTAM, Jens Peter Jacobsen, Jonas Lauritz Idemil LIE, Sigrid Undset ; ;1940 ; ;
Kristin Lavransdatter ;Sigrid Undset ; ;2020-05-27 ;1528717147;
Ida Elisabeth ;Sigrid Undset ;Ignatius Press ;2011-09-01 ;9781586174248;
The Wild Orchid ;Sigrid Undset ; ;2019-04-25 ;1949899934;
Four Stories ;Sigrid Undset ;Greenwood Publishing Group ;1978 ;0313205663;
East of the Sun and West of the Moon ;Sigrid Undset ; ;2020-07-26 ;9798669686611;
The Mistress of Husaby ;Sigrid Undset, Charles Archer ; ;1925 ; ;
Kristin Lavransdatter ;Sigrid Undset ;Bantam Books ;1978-09 ;0553240366;
Olav Audunssøn ;Sigrid Undset ; ;2021 ;1452966923;
The Cross ;Sigrid Undset ; ;1930 ; ;
Gunnar's Daughter ;Sigrid Undset ;National Geographic Books ;1998-04-01 ;9780141180205;
The Mistress of Husaby ;Sigrid Undset ; ;1925 ; ;
Return to the Future ;Sigrid Undset ; ;2019 ;194989990X;
Kristin Lavransdatter: The Mistress of Husaby ;Sigrid Undset ;Bantam Books ;1978 ; ;
The Bridal Wreath ;Sigrid Undset ; ;1928 ; ;
The Master of Hestviken ;Sigrid Undset ;Plume Books ;1978 ;0452251796;
Twelve Stories. By Steen Steensen Blicher. Translated from the Danish by Hanna Astrup Larsen. With an introduction by Sigrid Undset ;American Scandinavian Society (NEW YORK). American-Scandinavian Foundation, Steen Steensen BLICHER, Hanna Astrup LARSEN, Sigrid Undset ; ;1945 ; ;
Kristin Lavransdatter - The Mistress of Husaby ;Sigrid Undset ; ;2020-05-27 ;1528717155;
The Mistress of Husaby \ Sigrid Undset ; Translated from the Norwegian by Charles Archer ;Sigrid Undset ; ;1925 ; ;
Kristin Labransdatter ;Sigrid Undset ; ;1995 ;0349106584;
Three Ways of Modern Man, Etc. (Feudal Socialism: Sigrid Undset's Kristin Lavransdatter.-Bourgeois Liberalism: Thomas Mann's The Magic Mountain.-Socialist Humanism: Martin Anderson Nexö's Pelle the Conqueror.). ;Harry SLOCHOWER, Sigrid UNDSET ; ;1937 ; ;
Kristin Lavransdatter ;Sigrid Undset ;Bantam Books ;1978-09 ;0553240366;
In the Wilderness ;Sigrid Undset ; ;1964 ; ;
Fortællinger Om Kong Artur Og Ridderne Av Det Runde Bord. Fortalt Paa Norsk Av Sigrid Undset. Tredje Oplag. [Based Mainly on "Le Morte D'Arthur," by Sir Thomas Mallory.]. ;Sigrid UNDSET ; ;1915 ; ;
Kristin Lavransdatter ;Sigrid Undset ; ;1962 ; ;
Master of Hestviken ;Sigrid Undset ; ;1930 ; ;
Ungdom ;Sigrid Undset, Harold P. Hanson, Evabeth Astrup, Charlotte Blindheim ; ;2009 ;0692001298;
The Faithful Wife ;Sigrid Undset ; ;1937 ; ;
The Axe ;Sigrid Undset ; ;1928 ; ;
Fru Marta Oulie ;Sigrid Undset ; ;1977 ; ;
Christmas and Twelfth Night ;Sigrid Undset ; ;1941 ; ;
The Longest Years ;Sigrid Undset ; ;2020 ;195097085X;
Images in a Mirror ;Sigrid Undset ; ;2020 ;1950970655;
The bridal wreath, tr. by Charls Archer and J.S. Scott ;Sigrid Undset ; ;1946 ; ;
Kristin Lavransdatter ;Sigrid Undset ; ;1971 ; ;
Madame Dorthea : a Novel ;Sigrid Undset ; ;2020 ;1950970663;
Kristin Lavransdatter. Translated ... by Charles Archer & J.S. Scott. (Thirteenth Edition.). ;Sigrid Undset, Charles ARCHER (C.S.I.) ; ;1963 ; ;
Kristin Lavransdatter 2 ;Sigrid Undset ; ;1982-03 ;0553201662;
Happy Times in Norway. Transl. from the Norwegian by Joran Birkeland ;Sigrid Undset ; ;1943 ; ;
Kristin Lavransdatter. Kransen ;Sigrid Undset ; ;1920 ; ;
Jenny ;Sigrid Undset ; ;1992 ; ;
Den Trofaste Hustru: Roman ;Sigrid UNDSET ; ;1936 ; ;
Vaaren ;Sigrid Undset ; ;1947 ; ;
The Snake Pit ;Sigrid Undset ; ;1925 ; ;
Jenny ;Sigrid Undset ; ;1940 ; ;
True and Untrue and Other Norse Tales ;Sigrid Undset ; ;2023-05 ;1685951996;
Jda Elisabeth ;Sigrid Undset ; ;1934 ; ;
Son Avenger ;Sigrid Undset ; ;1930 ;999752411X;
Bridal Wreath ;Sigrid Undset ;London : Cassell ;1929 ; ;
Saga of saints ;Sigrid Undset, Transl.by E.C.Ramsden ; ;1968 ; ;
The Son Avenger ;Sigrid Undset ; ;1964 ; ;
The Son Owenger ;Sigrid Undset ; ;1930 ; ;
The Longest Years ;Sigrid Undset ; ;1975 ; ;
The Snake Pit. Translated From the Norwegian by Arthur G. Chater ;Sigrid Undset ; ;1963 ; ;
Etapper. [Essays.]. ;Sigrid UNDSET ; ;1929 ; ;
Kristin Lavransdatter. (I. Kransen-The Garland. II. Husfrue-The Mistress of Husaby. III. Korset-The Cross.) Translated ... by Charles Archer & J. S. Scott ;Sigrid Undset, Charles ARCHER (C.S.I.) ; ;1930 ; ;
Return to the Feature ;Sigrid Undset ; ;1942 ; ;
Papers of Ruth Suckow ;Ruth Suckow, William Everson, John Towner Frederick, James Schell Hearst, Clyde Kluckhohn, George Jean Nathan, Henry Louis Mencken, Ferner Nuhn, John Cowper Powys, Dorothy Miller Richardson, Evelyn Scott, John Selby, Elton Trueblood, Sigrid Undset ; ;1887 ; ;
Jenny ;Sigrid Undset, Anna-Maria Tallgren ; ;1936 ; ;
Splinten Av Troldspeilet ;Sigrid UNDSET ; ;1917 ; ;
Jenny ;Sigrid Undset ; ;1979 ; ;
The mistress of Husaby ;Sigrid Undset ; ;1969 ; ;
The Master of Hestviken. (Translated by Arthur G. Chater [from "Olav Audunssøn i Hestviken" and "Olav Audunssøn Og Hans Børn"].). ;Sigrid Undset ; ; ; ;
Middelalder-verker ;Sigrid Undset ; ;1982 ; ;
Catherine of Siena, tr ;Sigrid Undset ; ; ; ;
Images in a Mirror ... Translated by Arthur G. Chater ;Sigrid UNDSET, Arthur Grosvenor CHATER ; ;1938 ; ;
Selvportretter Og Landskapbilleder. Men, Women, and Places ... Translated ... by Arthur G. Chater ;Sigrid Undset, Arthur Grosvenor CHATER ; ;1939 ; ;
On Saints and Sinners ;Sigrid Undset ; ; ; ;
Jenny ;Sigrid Undset, Hugo Kosterka ; ;1933 ; ;
Madame Dorothea ... Translated ... by Arthur G. Chater ;Sigrid Undset, Arthur Grosvenor CHATER ; ;1941 ; ;
Stages on the Road ... Translated ... by Arthur G. Chater ;Sigrid UNDSET, Arthur Grosvenor CHATER ; ;1934 ; ;
The Master of Hestviken ;Sigrid Undset ; ;1994 ; ;
The Master of Hestviken ;Sigrid Undset ; ;1952 ; ;
Kristin Lavransdatter - Husfrue ;Sigrid Undset ;Lindhardt og Ringhof ;2015-03-20 ;9788711454800;
The Master of Hestviken ;Sigrid Undset ; ;1994 ; ;
The Master of Hestviken ;Sigrid Undset ; ;1952 ; ;
Kristin Lavransdatter - Husfrue ;Sigrid Undset ;Lindhardt og Ringhof ;2015-03-20 ;9788711454800;
Kristen Labransdatter ;Sigrid Undset ; ;1927 ; ;
Diary of a Parish Clerk ;Steen Steensen Blicher, Sigrid Undset ; ;1976 ;8774680528;
Olav Audunssohn ;Sigrid Undset ; ;1928 ; ;
Berättelsen om Viga-Ljot och Vigdis ;Sigrid Undset ;Modernista ;2022-01-14 ;9789178939824;
Pagine scelte di Sigrid Undset ;Sigrid Undset ; ;1940 ; ;
Olav Audunssohn ;Sigrid Undset ; ;1929 ; ;
Olav Audunssøn og hans børn ;Sigrid Undset ; ;1949 ; ;
Witte orchideeën ;Sigrid Undset, A. Basenau ; ;1944 ; ;
Sigrid Undset on Saints and Sinners ;Sigrid Undset ; ;1993 ; ;
The Unknown Sigrid Undset ;Sigrid Undset ; ;2001 ; ;
Kristin Lavransdatter, III: The Cross ;Sigrid Undset ;Penguin ;2000-04-01 ;9781101177280;
Jenny ;Sigrid Undset ;Read Books Ltd ;2020-05-26 ;9781528790390;
Stages on the Road ;Sigrid Undset ;Ave Maria Press ;2012-06-18 ;9780870612701;
Marta Oulie ;Sigrid Undset ;U of Minnesota Press ;2014-03-15 ;9781452942414;
Kristin Lavransdatter, I: The Wreath ;Sigrid Undset ;Penguin ;1997-12-01 ;9781101127766;
Olav Audunssøn ;Sigrid Undset ;U of Minnesota Press ;2022-10-25 ;9781452967974;
Happy Times in Norway ;Sigrid Undset ;U of Minnesota Press ;2013-05-01 ;9780816684694;
The Bridal Wreath ;Sigrid Undset ;Vintage ;2011-03-23 ;9780307789716;
The mistress of Husaby (Husfrue), translated by C. Archer ;Sigrid Undset ; ;1946 ; ;
Saga of Saints ;Sigrid Undset ;Freeport, N.Y. : Books for Libraries Press ;1968 ; ;
Men, Women, and Places ;Sigrid Undset ;Ayer Company Pub ;1969 ; ;
The Axe ;Sigrid Undset ; ;1963 ; ;
True and Untrue and Other Norse Tales - Illustrated by Frederick T. Chapman ;Sigrid Undset ;Read Books Ltd ;2013-04-16 ;9781473389243;
The Cross ;Sigrid Undset ; ;1927 ; ;
The Mistress of Husaby ;Sigrid Undset ; ;1928 ; ;
Kristin Lavransdatter ;Sigrid Undset ; ;1922 ; ;
In the Wilderness ;Sigrid Undset ;Vintage ;1995-06-24 ; ;
Christmas and Twelfth Night ;Sigrid Undset ; ;1932 ; ;
Gunnar's Daughter ;Sigrid Undset ; ;1936 ; ;
Images in a Mirror ;Sigrid Undset ;New York : Knopf ;1938 ; ;
Four Stories ;Sigrid Undset ; ;1969 ; ;
List of monuments in Norway ;Sigrid Undset, Harvard University. American Defense-Harvard Group. Committee on the Protection of Monuments ; ;1943 ; ;
Fru Marta Oulie ;Sigrid Undset ; ;1907 ; ;
The cross, tr. by Charles Archer ;Sigrid Undset ; ;1946 ; ;
The cross (Korset), translated by C. Archer ;Sigrid Undset ; ;1946 ; ;
Kristin Lavranstochter ;Sigrid Undset ; ;1927 ; ;
Frühling ;Sigrid Undset ; ;1926 ; ;
Den lykkelige alder ;Sigrid Undset ; ;1913 ; ;
Samlede romaner og fortaellinger fra nutiden ... ;Sigrid Undset ; ;1925 ; ;
De kloge jomfruer ;Sigrid Undset ; ;1918 ; ;
Letters of Thomas Mann, 1889-1955 ;Thomas Mann ;Univ of California Press ;1990-01-01 ;0520069684;
Thomas Mann: New Selected Stories ;Thomas Mann ;Liveright Publishing ;2023-02-28 ;9781631498497;
Death in Venice and Other Stories ;Thomas Mann ;Everyman's Library ;1991 ; ;
Death in Venice ;Thomas Mann, Stanley Appelbaum ;Courier Corporation ;2011-11-24 ;9780486416007;
Letters of Heinrich and Thomas Mann, 1900-1949 ;Thomas Mann, Heinrich Mann ;Univ of California Press ;1998-01-01 ;0520072782;
Thomas Mann's Addresses Delivered at the Library of Congress, 1942-1949 ;Thomas Mann ;Wildside Press LLC ;2008-02-01 ;9781434499530;
Reflections of a Nonpolitical Man ;Thomas Mann ;Frederick Ungar ;1987 ; ;
Buddenbrooks ;Thomas Mann ;Vintage ;1994-06-28 ;0679752609;
Lotte in Weimar ;Thomas Mann ;Univ of California Press ;1990-10-16 ;0520070070;
Doctor Faustus ;Thomas Mann ;Knopf ;1997 ; ;
Death in Venice, and Seven Other Stories ;Thomas Mann ;Vintage ;1989 ;9780679722069;
Collected Stories ;Thomas Mann, Daniel Johnson ; ;2001 ;1857151968;
Bashan and I ;Thomas Mann ;University of Pennsylvania Press ;2017-09-29 ;9781512821673;
Selections from Thomas Mann ;Thomas Mann ; ;1965 ; ;
Mann: Two Stories ;Thomas Mann ;Bristol Classical Press ;1998-02-27 ;1853993662;
Letters of Thomas Mann ;Thomas Mann ; ;1962 ; ;
Joseph and His Brothers ;Thomas Mann ;Everyman's Library ;2005-05-10 ; ;
The Transposed Heads ;Thomas Mann ;Vintage ;1959-09-12 ; ;
The Magic Mountain ;Thomas Mann ; ;2020-02-15 ;1925788385;
Mario and the Magician ;Thomas Mann ;Random House ;1996 ;9780749386627;
Death in Venice, Tonio Kröger, and Other Writings ;Thomas Mann ;Burns & Oates ;1999 ; ;
